Symbol,,
BHEL,.NS,BHEL.NS
BPCL,.NS,BPCL.NS
BHARTIARTL,.NS,BHARTIARTL.NS
BIOCON,.NS,BIOCON.NS
BIRLACORPN,.NS,BIRLACORPN.NS
BSOFT,.NS,BSOFT.NS
BLUEDART,.NS,BLUEDART.NS
BLUESTARCO,.NS,BLUESTARCO.NS
BBTC,.NS,BBTC.NS
BORORENEW,.NS,BORORENEW.NS
BOSCHLTD,.NS,BOSCHLTD.NS
BRIGADE,.NS,BRIGADE.NS
BCG,.NS,BCG.NS
BRITANNIA,.NS,BRITANNIA.NS
MAPMYINDIA,.NS,MAPMYINDIA.NS
CCL,.NS,CCL.NS
CESC,.NS,CESC.NS
CGPOWER,.NS,CGPOWER.NS
CRISIL,.NS,CRISIL.NS
CSBBANK,.NS,CSBBANK.NS
CANFINHOME,.NS,CANFINHOME.NS
CANBK,.NS,CANBK.NS
CAPLIPOINT,.NS,CAPLIPOINT.NS
CGCL,.NS,CGCL.NS
CARBORUNIV,.NS,CARBORUNIV.NS
CASTROLIND,.NS,CASTROLIND.NS
CEATLTD,.NS,CEATLTD.NS
CENTRALBK,.NS,CENTRALBK.NS
CDSL,.NS,CDSL.NS
CENTURYPLY,.NS,CENTURYPLY.NS
CENTURYTEX,.NS,CENTURYTEX.NS
CERA,.NS,CERA.NS
CHALET,.NS,CHALET.NS
CHAMBLFERT,.NS,CHAMBLFERT.NS
CHEMPLASTS,.NS,CHEMPLASTS.NS
CHOLAHLDNG,.NS,CHOLAHLDNG.NS
CHOLAFIN,.NS,CHOLAFIN.NS
CIPLA,.NS,CIPLA.NS
CUB,.NS,CUB.NS
CLEAN,.NS,CLEAN.NS
COALINDIA,.NS,COALINDIA.NS
COCHINSHIP,.NS,COCHINSHIP.NS
COFORGE,.NS,COFORGE.NS
COLPAL,.NS,COLPAL.NS
CAMS,.NS,CAMS.NS
CONCOR,.NS,CONCOR.NS
COROMANDEL,.NS,COROMANDEL.NS
CREDITACC,.NS,CREDITACC.NS
CROMPTON,.NS,CROMPTON.NS
CUMMINSIND,.NS,CUMMINSIND.NS
CYIENT,.NS,CYIENT.NS
DCMSHRIRAM,.NS,DCMSHRIRAM.NS
DLF,.NS,DLF.NS
DABUR,.NS,DABUR.NS
DALBHARAT,.NS,DALBHARAT.NS
DEEPAKNTR,.NS,DEEPAKNTR.NS
DELTACORP,.NS,DELTACORP.NS
DEVYANI,.NS,DEVYANI.NS
DHANI,.NS,DHANI.NS
DBL,.NS,DBL.NS
DIVISLAB,.NS,DIVISLAB.NS
DIXON,.NS,DIXON.NS
LALPATHLAB,.NS,LALPATHLAB.NS
DRREDDY,.NS,DRREDDY.NS
EIDPARRY,.NS,EIDPARRY.NS
EIHOTEL,.NS,EIHOTEL.NS
EPL,.NS,EPL.NS
EASEMYTRIP,.NS,EASEMYTRIP.NS
EDELWEISS,.NS,EDELWEISS.NS
EICHERMOT,.NS,EICHERMOT.NS
ELGIEQUIP,.NS,ELGIEQUIP.NS
EMAMILTD,.NS,EMAMILTD.NS
ENDURANCE,.NS,ENDURANCE.NS
ENGINERSIN,.NS,ENGINERSIN.NS
EQUITAS,.NS,EQUITAS.NS
EQUITASBNK,.NS,EQUITASBNK.NS
ERIS,.NS,ERIS.NS
ESCORTS,.NS,ESCORTS.NS
EXIDEIND,.NS,EXIDEIND.NS
FDC,.NS,FDC.NS
NYKAA,.NS,NYKAA.NS
FEDERALBNK,.NS,FEDERALBNK.NS
FACT,.NS,FACT.NS
FINEORG,.NS,FINEORG.NS
FINCABLES,.NS,FINCABLES.NS
FINPIPE,.NS,FINPIPE.NS
FSL,.NS,FSL.NS
FORTIS,.NS,FORTIS.NS
GRINFRA,.NS,GRINFRA.NS
GAIL,.NS,GAIL.NS
GMMPFAUDLR,.NS,GMMPFAUDLR.NS
GALAXYSURF,.NS,GALAXYSURF.NS
GARFIBRES,.NS,GARFIBRES.NS
GICRE,.NS,GICRE.NS
GLAND,.NS,GLAND.NS
GLAXO,.NS,GLAXO.NS
GLS,.NS,GLS.NS
GLENMARK,.NS,GLENMARK.NS
GOCOLORS,.NS,GOCOLORS.NS
GODFRYPHLP,.NS,GODFRYPHLP.NS
GODREJAGRO,.NS,GODREJAGRO.NS
GODREJCP,.NS,GODREJCP.NS
GODREJIND,.NS,GODREJIND.NS
GODREJPROP,.NS,GODREJPROP.NS
GRANULES,.NS,GRANULES.NS
GRAPHITE,.NS,GRAPHITE.NS
GRASIM,.NS,GRASIM.NS
GESHIP,.NS,GESHIP.NS
GRINDWELL,.NS,GRINDWELL.NS
GUJALKALI,.NS,GUJALKALI.NS
GAEL,.NS,GAEL.NS
FLUOROCHEM,.NS,FLUOROCHEM.NS
GUJGASLTD,.NS,GUJGASLTD.NS
GNFC,.NS,GNFC.NS
GPPL,.NS,GPPL.NS
GSFC,.NS,GSFC.NS
GSPL,.NS,GSPL.NS
HEG,.NS,HEG.NS
HCLTECH,.NS,HCLTECH.NS
HDFCAMC,.NS,HDFCAMC.NS
HDFCBANK,.NS,HDFCBANK.NS
HDFCLIFE,.NS,HDFCLIFE.NS
HFCL,.NS,HFCL.NS
HLEGLAS,.NS,HLEGLAS.NS
HAPPSTMNDS,.NS,HAPPSTMNDS.NS
HATHWAY,.NS,HATHWAY.NS
